transaction_id,scan_end_ns,image_index,image_ns,signed_mismatch_ms,abs_mismatch_ms,eligible
2109,1660857606403833464,5132,1660857606391797180,-12.036284,12.036284,1
2110,1660857606504692390,5135,1660857606514019052,9.326662,9.326662,1
2111,1660857606605552271,5137,1660857606595486794,-10.065477,10.065477,1
2112,1660857606706412390,5140,1660857606717712146,11.299756,11.299756,1
2113,1660857606807272271,5142,1660857606799170274,-8.101997,8.101997,1
2114,1660857606908132389,5145,1660857606921382986,13.250597,13.250597,1
2115,1660857607008936480,5147,1660857607002858858,-6.077622,6.077622,1
2116,1660857607109796360,5150,1660857607125070570,15.27421,15.27421,1
2117,1660857607210656479,5152,1660857607206559018,-4.097461,4.097461,1
2118,1660857607311516359,5155,1660857607328755538,17.239179,17.239179,1
2119,1660857607412376478,5157,1660857607410231794,-2.144684,2.144684,1
2120,1660857607513236359,5160,1660857607532473410,19.237051,19.237051,1
2121,1660857607614096478,5162,1660857607613934314,-0.162164,0.162164,1
2122,1660857607714956358,5164,1660857607695400602,-19.555756,19.555756,1
2123,1660857607815816477,5167,1660857607817610570,1.794093,1.794093,1
2124,1660857607916676357,5169,1660857607899091730,-17.584627,17.584627,1
2125,1660857608017480448,5172,1660857608021327506,3.847058,3.847058,1
2126,1660857608118340329,5174,1660857608102765082,-15.575247,15.575247,1
2127,1660857608219200447,5176,1660857608224979498,5.779051,5.779051,1
2128,1660857608320060328,5178,1660857608306453794,-13.606534,13.606534,1
2129,1660857608420920447,5181,1660857608428666378,7.745931,7.745931,1
2130,1660857608521780327,5183,1660857608510150210,-11.630117,11.630117,1
2131,1660857608622639254,5186,1660857608632353410,9.714156,9.714156,1
2132,1660857608723499373,5188,1660857608713830474,-9.668899,9.668899,1
2133,1660857608824359253,5191,1660857608836049018,11.689765,11.689765,1
2134,1660857608925217062,5193,1660857608917521698,-7.695364,7.695364,1
2135,1660857609026022271,5196,1660857609039738052,13.715781,13.715781,1
2136,1660857609126882389,5198,1660857609121209444,-5.672945,5.672945,1
2137,1660857609227742270,5201,1660857609243424476,15.682206,15.682206,1
2138,1660857609328602389,5203,1660857609333227969,4.62558,4.62558,1
2139,1660857609429462269,5205,1660857609423030270,-6.431999,6.431999,1
2140,1660857609530322388,5208,1660857609545275430,14.953042,14.953042,1
2141,1660857609631182269,5210,1660857609626722950,-4.459319,4.459319,1
2142,1660857609732042387,5213,1660857609748949206,16.906819,16.906819,1
2143,1660857609832902268,5215,1660857609830409078,-2.49319,2.49319,1
2144,1660857609933762386,5217,1660857609911887654,-21.874732,21.874732,0
2145,1660857610034566477,5219,1660857610034095102,-0.471375,0.471375,1
2146,1660857610135426357,5221,1660857610115576910,-19.849447,19.849447,1
2147,1660857610236286476,5224,1660857610237791198,1.504722,1.504722,1
2148,1660857610337146357,5226,1660857610319271974,-17.874383,17.874383,1
2149,1660857610438006476,5229,1660857610441483110,3.476634,3.476634,1
2150,1660857610538866356,5232,1660857610555359745,16.493389,16.493389,1
2151,1660857610639726475,5234,1660857610628502668,-11.223807,11.223807,1
2152,1660857610740585401,5237,1660857610750721474,10.136073,10.136073,1
2153,1660857610841445282,5239,1660857610823843652,-17.60163,17.60163,1
2154,1660857610942305401,5242,1660857610946070652,3.765251,3.765251,1
2155,1660857611043109254,5244,1660857611027533396,-15.575858,15.575858,1
2156,1660857611143969372,5247,1660857611149752524,5.783152,5.783152,1
2157,1660857611244829253,5249,1660857611231251236,-13.578017,13.578017,1
2158,1660857611345689371,5252,1660857611353434620,7.745249,7.745249,1
2159,1660857611446549252,5254,1660857611434081641,-12.467611,12.467611,1
2160,1660857611547409371,5257,1660857611555599850,8.190479,8.190479,1
2161,1660857611648269251,5259,1660857611636521281,-11.74797,11.74797,1
2162,1660857611749129370,5261,1660857611758047068,8.917698,8.917698,1
2163,1660857611849989489,5263,1660857611839178009,-10.81148,10.81148,1
2164,1660857611950849369,5266,1660857611960880987,10.031618,10.031618,1
2165,1660857612051653460,5268,1660857612042077542,-9.575918,9.575918,1
2166,1660857612152513340,5271,1660857612164317350,11.80401,11.80401,1
