lidar_header_stamp,run_a_n,run_b_n,run_c_n,run_a_b_cloud_hash_equal,run_a_b_max_abs_initial_raw_final_pose_component_diff,run_a_b_fitness_abs_diff,run_a_b_iterations_equal,run_a_b_convergence_equal,run_a_b_exact_diagnostics,run_c_matches_a_diagnostics,captured_point_xyz_hash_a_b_c_equal,captured_point_count_a_b_c,captured_raw_message_hash_a_b_c_equal
1660857417.806301117,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857417.907160997,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857418.007966042,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857418.108825922,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857418.209685087,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857418.310544968,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857418.411405087,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857418.512264967,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857418.613125086,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857418.713984966,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857418.814845085,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857418.915704966,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857419.016509056,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857419.117368937,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857419.218229055,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857419.319088936,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857419.419949055,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857419.520808935,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857419.621669054,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857419.722528934,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
